"Reporting starts","Reporting ends","Ad Set Name",Age,Gender,Impressions,Reach,"Clicks (all)",ThruPlays,"Post engagements"
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,unknown,25,25,1,,11
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,male,2652,2488,58,107,949
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,3044,2920,142,230,1249
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,27,24,1,1,11
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,2103,1816,42,86,636
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,2292,2168,79,154,790
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,8,0,0,,3
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,429,429,9,25,135
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,647,584,16,38,184
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,27,16,3,,14
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,1633,1264,68,192,1076
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,2590,2436,141,376,1768
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,unknown,21,21,2,3,13
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,male,1603,1540,58,130,956
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,female,3247,3020,161,358,1975
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,unknown,21,21,2,2,11
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,male,1356,1032,36,74,663
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,female,2344,2308,131,208,1205
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,unknown,18,16,0,1,6
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,male,1697,1492,33,85,602
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,2663,2584,98,182,1074
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,19,19,0,4,5
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,1451,1196,35,63,426
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,2090,1984,50,120,675
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,6,6,1,,3
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,259,259,4,16,65
2025-06-15,2025-06-15,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,598,532,15,23,159
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,23,23,2,6,14
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,1766,1456,92,208,1182
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,2766,2552,212,451,1940
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,unknown,15,15,0,1,12
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,male,1563,1476,73,143,925
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,female,3092,2936,190,383,1958
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,unknown,14,14,0,,9
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,male,1302,1076,61,88,654
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,female,2184,2124,135,237,1195
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,unknown,19,16,0,,8
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,male,1650,1448,34,86,619
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,2433,2184,113,178,1025
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,27,16,2,2,8
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,1354,1224,44,49,419
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,1882,1792,61,105,623
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,10,0,1,2,5
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,273,212,3,9,73
